bodyId,sign
10013,-1
10079,-1
10267,1
10495,-1
10599,1
10704,-1
10804,-1
10816,-1
10826,1
11145,-1
11176,1
11402,-1
11455,-1
11777,1
11785,1
11805,-1
11873,1
11990,1
12690,-1
12726,1
12859,-1
12918,1
13728,1
13768,1
14221,1
15626,-1
15708,1
17946,1
18406,1
18603,-1
18713,-1
19267,-1
19366,1
20835,1
21242,-1
26485,1
26853,1
28622,1
31016,1
31083,1
33617,1
36094,1
38853,1
38859,1
39608,-1
41692,1
44619,1
47551,1
49262,-1
58401,1
70924,-1
76585,-1
87077,-1
92112,-1
110448,-1
133427,-1
160320,-1
187741,1
208566,-1
394860,-1
508595,1
512788,1
512789,1
513174,-1
513387,1
513391,1
514853,1
515015,-1
515034,1
515338,-1
519128,1
519131,-1
519368,1
519371,-1
519373,-1
519619,1
520151,-1
520186,1
520395,1
521086,1
521526,-1
522444,-1
522749,-1
523043,1
523060,-1
523628,1
523987,1
524733,-1
524893,1
525780,-1
530875,-1
531829,-1
540383,-1
556300,-1
558665,-1
562782,1
579919,-1
